id,img_timestamp,pose_timestamp,img_path,lat_deg,lon_deg,alt_m,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,toggle_enabled
279,1776962032.0071168,1776962032.064631,/home/sylva0/on_board/logs/images/0000000279.jpg,36.1773072,-78.033924,16.377,-0.24971389770507812,9.216608047485352,-16.37795066833496,-0.02018740586936474,-0.10327659547328949,0.2600477337837219,1
280,1776962032.9922779,1776962033.0297766,/home/sylva0/on_board/logs/images/0000000280.jpg,36.1773131,-78.0339249,16.316,0.4091463088989258,9.136007308959961,-16.316076278686523,0.01892438717186451,-0.11235824227333069,0.32162076234817505,1
281,1776962033.9998913,1776962034.042766,/home/sylva0/on_board/logs/images/0000000281.jpg,36.1773174,-78.0339235,16.406,0.8859262466430664,9.257308959960938,-16.406984329223633,0.004937618970870972,-0.10802845656871796,0.3011349141597748,1
282,1776962035.0242503,1776962035.0871048,/home/sylva0/on_board/logs/images/0000000282.jpg,36.1773183,-78.0339229,16.319,0.9899501800537109,9.313138961791992,-16.31976318359375,0.04418022930622101,-0.12262292206287384,0.2828391194343567,1
283,1776962036.0111294,1776962036.0586872,/home/sylva0/on_board/logs/images/0000000283.jpg,36.1773179,-78.0339213,16.281,0.9433860778808594,9.460832595825195,-16.28135108947754,0.027206560596823692,-0.11275717616081238,0.2522674798965454,1
284,1776962037.021184,1776962037.0757027,/home/sylva0/on_board/logs/images/0000000284.jpg,36.1773175,-78.0339215,16.338,0.8916034698486328,9.440299987792969,-16.338003158569336,0.026496825739741325,-0.14316247403621674,0.3000287115573883,1
285,1776962038.028677,1776962038.0884883,/home/sylva0/on_board/logs/images/0000000285.jpg,36.1773187,-78.0339195,16.281,1.0257549285888672,9.615076065063477,-16.281230926513672,-0.02122269943356514,-0.11900337040424347,0.28818121552467346,1
286,1776962039.0165858,1776962039.0585008,/home/sylva0/on_board/logs/images/0000000286.jpg,36.1773217,-78.033917,16.129,1.365910530090332,9.846237182617188,-16.129268646240234,-0.011272489093244076,-0.1108347624540329,0.25745049118995667,1
287,1776962040.0269237,1776962040.0771582,/home/sylva0/on_board/logs/images/0000000287.jpg,36.1773262,-78.0339156,16.061,1.8655509948730469,9.973962783813477,-16.06173324584961,-0.01688232645392418,-0.13284245133399963,0.34620553255081177,1
288,1776962041.0428333,1776962041.1053398,/home/sylva0/on_board/logs/images/0000000288.jpg,36.177331,-78.0339188,16.073,2.27042293548584,9.775609970092773,-16.107284545898438,0.08992088586091995,-0.1237259954214096,0.217607781291008,1
289,1776962042.0229907,1776962042.0669744,/home/sylva0/on_board/logs/images/0000000289.jpg,36.1773356,-78.0339216,15.876,2.9065027236938477,9.428642272949219,-15.876409530639648,0.09070424735546112,-0.09324753284454346,-0.09529358148574829,1
290,1776962043.0327196,1776962043.0831401,/home/sylva0/on_board/logs/images/0000000290.jpg,36.1773422,-78.0339242,16.247,3.644442558288574,9.199594497680664,-16.24749183654785,-0.014009056612849236,-0.029038840904831886,-1.2375478744506836,1
291,1776962044.04183,1776962044.097331,/home/sylva0/on_board/logs/images/0000000291.jpg,36.1773461,-78.0339323,16.451,4.075590133666992,8.470178604125977,-16.4512882232666,-0.007412050385028124,0.02008863165974617,-1.3475302457809448,1
292,1776962045.0263553,1776962045.0658758,/home/sylva0/on_board/logs/images/0000000292.jpg,36.1773462,-78.0339397,16.496,4.093097686767578,7.802824020385742,-16.496463775634766,0.06768172979354858,0.02121354267001152,-1.1173664331436157,1
293,1776962046.0399203,1776962046.0895538,/home/sylva0/on_board/logs/images/0000000293.jpg,36.1773435,-78.0339489,16.427,3.792417526245117,6.979560852050781,-16.427104949951172,0.1197158619761467,0.027446631342172623,-1.249045491218567,1
294,1776962047.0494566,1776962047.1083727,/home/sylva0/on_board/logs/images/0000000294.jpg,36.1773427,-78.0339536,16.405,3.6976022720336914,6.556396484375,-16.405094146728516,0.09936714917421341,0.09471051394939423,-1.230926752090454,1
