tree_id,score,px_xmin,px_ymin,px_xmax,px_ymax,crown_width_px,crown_height_px,crown_diameter_px,crown_width_m,crown_height_m,crown_diameter_m,geo_x,geo_y,mean_r,mean_g,mean_b,std_r,std_g,std_b,greenness_exg,vari,brightness,tile_idx,tile_origin_col,tile_origin_row
248,0.6136,3086.0,930.0,3126.0,966.0,40.0,36.0,38.0,2.144,1.929,2.036,638530.567869,3863662.065244,135.6,140.0,61.7,24.0,26.7,19.6,82.68,0.0204,112.4,1,1920,0
249,0.6135,3083.0,1659.0,3112.0,1684.0,29.0,25.0,27.0,1.554,1.34,1.447,638530.112351,3863623.295522,116.7,127.0,47.9,24.3,28.1,15.3,89.5,0.0528,97.2,1,1920,0
250,0.6075,2760.0,1444.0,2795.0,1473.0,35.0,29.0,32.0,1.876,1.554,1.715,638512.963434,3863634.709414,150.3,155.5,61.7,24.9,27.2,18.9,99.03,0.0215,122.5,1,1920,0
251,0.607,2233.0,1969.0,2266.0,1998.0,33.0,29.0,31.0,1.768,1.554,1.661,638484.667723,3863606.576583,129.1,142.4,62.3,23.2,24.3,16.8,93.4,0.0636,111.3,1,1920,0
252,0.6068,3098.0,889.0,3128.0,919.0,30.0,30.0,30.0,1.608,1.608,1.608,638530.943001,3863664.423043,121.8,133.0,52.3,22.9,26.5,16.1,91.77,0.055,102.4,1,1920,0
253,0.6054,3130.0,1574.0,3157.0,1599.0,27.0,25.0,26.0,1.447,1.34,1.393,638532.577507,3863627.850362,156.7,148.1,73.8,29.2,31.2,17.5,65.78,-0.037,126.2,1,1920,0
254,0.6041,3371.0,687.0,3415.0,728.0,44.0,41.0,42.5,2.358,2.197,2.278,638545.948303,3863674.95276,99.3,116.0,36.4,21.9,26.3,13.7,96.25,0.0934,83.9,1,1920,0
255,0.6031,1982.0,1859.0,2021.0,1899.0,39.0,40.0,39.5,2.09,2.144,2.117,638471.377312,3863612.176356,118.1,128.2,59.0,31.2,35.0,21.5,79.24,0.0538,101.8,1,1920,0
256,0.603,3303.0,1304.0,3344.0,1343.0,41.0,39.0,40.0,2.197,2.09,2.144,638542.223773,3863641.943571,123.0,131.1,53.2,31.7,31.2,20.9,85.99,0.0402,102.4,1,1920,0
257,0.6027,3820.0,608.0,3870.0,642.0,50.0,34.0,42.0,2.679,1.822,2.251,638570.171147,3863679.373634,129.8,130.2,59.6,29.6,30.3,25.1,71.02,0.0021,106.5,1,1920,0
258,0.602,3607.0,1749.0,3645.0,1783.0,38.0,34.0,36.0,2.036,1.822,1.929,638558.434858,3863618.231613,121.4,125.4,51.4,28.6,31.1,21.3,78.03,0.0207,99.4,1,1920,0
259,0.6017,2024.0,1642.0,2056.0,1674.0,32.0,32.0,32.0,1.715,1.715,1.715,638473.440541,3863624.018938,127.5,137.4,57.9,31.8,30.1,22.2,89.31,0.0475,107.6,1,1920,0
260,0.6015,3719.0,1715.0,3753.0,1747.0,34.0,32.0,33.0,1.822,1.715,1.768,638564.329798,3863620.107135,131.9,130.9,59.0,29.9,34.2,19.0,70.98,-0.0048,107.3,1,1920,0
261,0.6002,3582.0,1495.0,3609.0,1523.0,27.0,28.0,27.5,1.447,1.5,1.474,638556.800352,3863632.003304,114.6,123.7,52.2,17.2,19.7,13.0,80.73,0.0492,96.8,1,1920,0
262,0.5997,2837.0,1896.0,2879.0,1935.0,42.0,39.0,40.5,2.251,2.09,2.17,638517.277459,3863610.220454,120.7,126.8,55.8,29.2,29.5,20.6,77.22,0.0321,101.1,1,1920,0
263,0.5997,3860.0,1549.0,3897.0,1588.0,37.0,39.0,38.0,1.983,2.09,2.036,638571.966425,3863628.814916,139.2,134.5,65.1,27.4,30.7,24.0,64.8,-0.0222,112.9,1,1920,0
